week_start,week_end,campaign_id,campaign_name,api_row_returned,impressions,clicks,interactions,cost,conversions,conversion_value,roas,ctr,average_cpc,conversion_rate,average_conversion_value,all_conversions,all_conversion_value
2026-02-16,2026-02-22,20647427212,Performance Max-2,True,150311,1751,2055,2257.046769,20.125468,7337.900743,3.251107,0.011649,1.289004,0.009793,364.607707,7817.621547,76296.368738
2026-02-23,2026-03-01,20647427212,Performance Max-2,True,190271,2246,2725,2574.439545,23.328977,2177.097654,0.845659,0.011804,1.146233,0.008561,93.321608,8886.039752,33849.419791
2026-03-02,2026-03-08,20647427212,Performance Max-2,True,209051,2236,2696,2600.475927,26.066635,9333.290760,3.589070,0.010696,1.163004,0.009669,358.055068,9511.638126,104777.282277
2026-03-09,2026-03-15,20647427212,Performance Max-2,True,194169,2016,2162,2523.094503,30.011621,3084.105282,1.222350,0.010383,1.251535,0.013881,102.763702,7489.096068,50746.549487
2026-03-16,2026-03-22,20647427212,Performance Max-2,True,169003,1776,1866,2218.822979,27.483607,6866.181321,3.094515,0.010509,1.249337,0.014729,249.828246,7212.622707,45819.016006
2026-03-23,2026-03-29,20647427212,Performance Max-2,True,180383,2003,2068,2534.240400,26.858855,3953.669337,1.560100,0.011104,1.265222,0.012988,147.201708,7767.180619,38970.413290
2026-03-30,2026-04-05,20647427212,Performance Max-2,True,180066,1943,2008,2306.103143,26.783368,6219.806704,2.697107,0.010790,1.186878,0.013338,232.226459,7936.022665,38174.730745
2026-04-06,2026-04-12,20647427212,Performance Max-2,True,162655,2013,2232,2159.650658,23.611451,8688.518008,4.023113,0.012376,1.072852,0.010579,367.978995,8561.958134,97709.207262
2026-04-13,2026-04-19,20647427212,Performance Max-2,True,215111,2433,2804,3322.403274,31.470911,9117.708251,2.744311,0.011310,1.365558,0.011224,289.718599,9743.021551,56031.701754
2026-04-20,2026-04-26,20647427212,Performance Max-2,True,147779,1666,1808,2003.480312,21.275535,32385.202701,16.164473,0.011274,1.202569,0.011767,1522.180415,6424.655228,119111.294068
2026-04-27,2026-05-03,20647427212,Performance Max-2,True,158108,1746,1871,2145.271002,18.245140,1113.585438,0.519088,0.011043,1.228678,0.009752,61.034634,7055.706783,39722.674480
2026-05-04,2026-05-10,20647427212,Performance Max-2,True,166293,1800,1944,2006.584739,18.498685,2444.539320,1.218259,0.010824,1.114769,0.009516,132.146654,7204.527835,41519.288401
2026-05-11,2026-05-17,20647427212,Performance Max-2,True,139046,1759,1872,1888.774143,22.259076,2809.992705,1.487734,0.012650,1.073777,0.011891,126.240312,8813.663608,41145.778318
2026-05-18,2026-05-24,20647427212,Performance Max-2,True,180285,2042,2181,2280.710938,20.617051,3551.307920,1.557106,0.011327,1.116901,0.009453,172.251013,7865.987976,49029.715131
2026-05-25,2026-05-31,20647427212,Performance Max-2,True,156703,1749,1883,2101.672404,9.516461,1072.756503,0.510430,0.011161,1.201642,0.005054,112.726412,7230.843705,52904.428701
2026-06-01,2026-06-07,20647427212,Performance Max-2,True,167804,1982,2070,2223.562281,15.023136,2003.713859,0.901128,0.011811,1.121878,0.007258,133.375206,8231.002705,45359.188849
2026-06-08,2026-06-14,20647427212,Performance Max-2,True,183616,2243,2350,2388.887622,23.087028,1760.226466,0.736839,0.012216,1.065041,0.009824,76.243095,8820.302381,63193.662773
2026-06-15,2026-06-21,20647427212,Performance Max-2,True,161132,2150,2344,2150.056074,34.669615,3831.839002,1.782204,0.013343,1.000026,0.014791,110.524417,9875.872717,52556.264186
2026-06-22,2026-06-28,20647427212,Performance Max-2,True,142686,2101,2241,2203.685770,26.838960,4376.366448,1.985930,0.014725,1.048875,0.011976,163.060210,9383.419600,62398.725319
2026-06-29,2026-07-05,20647427212,Performance Max-2,True,150056,1929,2033,2188.194410,18.788494,1781.148136,0.813981,0.012855,1.134367,0.009242,94.799942,7932.114202,50201.752069
2026-07-06,2026-07-12,20647427212,Performance Max-2,True,149753,1861,1972,2229.339840,16.451692,2282.682824,1.023928,0.012427,1.197926,0.008343,138.750642,7950.844182,37156.574515
2026-07-13,2026-07-19,20647427212,Performance Max-2,True,126448,1692,1735,2191.600290,20.913573,1461.319617,0.666782,0.013381,1.295272,0.012054,69.874221,6763.216546,67529.842429
